origin,destination,depart_time,arrive_time,duration,num_stops,num_miles_main,num_miles_first,date
CLT,ATL,08:00:00,12:59:00,299,1,6.0,17.0,2025-10-29
CLT,ATL,08:00:00,16:35:00,515,1,13.5,75.5,2025-10-29
CLT,ATL,08:25:00,09:50:00,85,0,22.5,28.5,2025-10-29
CLT,ATL,09:36:00,20:20:00,644,1,7.0,14.0,2025-10-29
CLT,ATL,09:36:00,16:35:00,419,1,13.5,60.0,2025-10-29
CLT,ATL,10:46:00,12:20:00,94,0,12.5,18.5,2025-10-29
CLT,ATL,11:19:00,22:03:00,644,1,12.5,18.5,2025-10-29
CLT,ATL,11:19:00,20:20:00,541,1,16.0,22.0,2025-10-29
CLT,ATL,11:19:00,16:35:00,316,1,22.0,64.5,2025-10-29
CLT,ATL,14:24:00,22:03:00,459,1,6.0,14.0,2025-10-29
CLT,ATL,14:24:00,20:20:00,356,1,7.0,14.0,2025-10-29
CLT,ATL,15:31:00,16:54:00,83,0,10.5,16.5,2025-10-29
CLT,ATL,17:25:00,22:03:00,278,1,12.0,33.0,2025-10-29
CLT,ATL,17:28:00,18:41:00,73,0,6.0,14.0,2025-10-29
CLT,ATL,21:40:00,23:07:00,87,0,13.5,19.5,2025-10-29
CLT,ATL,22:37:00,08:17:00,580,1,6.0,14.0,2025-10-29
